,dim 1,dim 2,dim 3,dim 4,dim 5,dim 6,dim 7,dim 8,dim 9,dim 10,Element,Part,Time,MPa,Error_GRF,MechWork,ErrorAng,ErrorMom,QS,Energy Gen,Energy Abs,RoM,Experiment No.
59,16.438,6.779,15.962,1.712,1.712,5.987,19.446,16.754,19.446,15.329,2.0,13.0,31.0,1946.8225,0.04014402836171345,3.6716173293282752,2.7895481154028725,2.863396094307277,2.8264721048550747,10.386372355147472,3.7290094484799745,39.927493288890005,60.0
60,7.413,16.279,2.979,12.638,2.188,2.029,15.487,7.254,16.596,8.362,13.0,10.0,104.0,1520.1582,0.033279685052290155,7.3829123431624755,2.1924754871107788,1.1127844523212005,1.6526299697159896,9.610760093625593,3.2767650536774653,30.6808127165,61.0
61,15.804,2.821,15.804,10.579,3.454,4.879,12.638,19.446,15.487,6.304,2.0,5.0,99.0,2149.8601,0.05027159710442151,8.742479294099931,1.8546680797477455,0.9048467664697745,1.37975742310876,10.810579480367426,3.59141184716682,25.2936341761,62.0
62,12.796,10.737,12.004,17.229,8.996,3.454,16.279,17.704,9.312,18.812,2.0,23.0,6.0,280.8325,0.027434036515427515,0.22018770217213104,1.4336854149953575,0.3927190359190161,0.9132022254571868,6.367086852716281,0.6169627050657716,1.7524452209999986,63.0
63,5.354,5.038,18.812,3.613,6.779,1.079,16.121,2.662,12.321,6.779,3.0,23.0,19.0,1312.4928,0.02937856070054228,3.8369867429091604,1.8186061487594891,0.6661419959587138,1.2423740723591015,10.66264713510787,3.5795525317892722,23.057000159999998,64.0
64,4.246,11.846,2.029,5.512,1.238,8.679,17.704,3.929,14.854,12.638,10.0,9.0,105.0,1330.9663,0.016811398131370055,2.7502570081279725,2.632166683490755,2.7145240559502923,2.673345369720524,8.305089610798223,3.2328397432504157,45.68424728521,65.0
65,6.779,15.013,12.162,12.954,16.438,2.188,12.004,2.821,11.846,19.446,2.0,28.0,30.0,498.2777,0.027346831795536364,0.6914982534769489,1.4722397474369942,0.38098000648731245,0.9266098769621534,7.164435447838094,1.3217026363323066,5.235269547000005,66.0
66,2.662,9.946,17.704,8.996,16.754,9.471,5.987,18.179,13.429,14.062,3.0,3.0,108.0,1314.36,0.04941323853026793,10.663484064482937,2.512697404017328,2.0049915722488203,2.2588444881330743,11.910489687922793,3.7017861397796112,40.904054731066,67.0
67,13.429,2.029,7.729,15.171,19.288,16.596,15.329,5.987,2.504,8.996,5.0,6.0,112.0,2546.6213,0.08377788841677379,7.981094211900372,2.1711210016437588,2.2276705967283035,2.199395799186031,13.11862386804985,4.389966380878795,27.353810813223,68.0
68,15.646,15.804,14.538,11.054,8.362,10.421,13.271,6.146,9.788,19.921,24.0,13.0,94.0,102.654,0.025612101163600052,0.14184533135284955,1.5027042037319696,0.4218532050812114,0.9622787044065905,5.56089901410005,0.5212725780103672,1.1985130310000045,69.0
69,5.038,6.304,8.679,7.571,4.404,7.254,14.221,12.004,8.362,16.121,12.0,3.0,102.0,695.0952,0.01673260183332867,3.2125832238049994,1.7645834820108712,0.6382546628640701,1.2014190724374707,7.1234005862226475,2.434273734663212,15.965386391000001,70.0
70,3.771,1.712,5.512,7.729,11.529,6.938,19.604,9.154,10.579,4.087,5.0,5.0,107.0,2004.6458,0.0248195478210237,1.9438043196859365,2.410974666879996,2.6382731824789674,2.5246239246794815,9.192606656431183,3.5212952955908405,29.27181193212,71.0
71,19.129,5.671,4.562,13.904,3.771,7.729,2.346,15.013,17.229,1.712,1.0,31.0,31.0,1782.2856,0.03312224485344949,1.6819189173944658,1.6770614982720826,0.5352030324926662,1.1061322653823744,9.190519621050957,3.2709544765662977,13.326074599999998,72.0
72,18.496,19.762,4.404,1.396,9.788,9.946,14.062,10.579,5.987,2.979,2.0,13.0,22.0,2567.2439,0.034135881464921136,2.5983192633268732,2.625884927652057,3.0570305216540596,2.8414577246530586,12.709375203206797,4.375487592068506,43.55098727387001,73.0
73,2.504,15.171,2.346,5.987,5.196,4.721,9.154,7.096,2.979,8.837,9.0,9.0,103.0,1015.0325,0.016208356944642285,3.8943575202973353,2.5063697247311474,2.6101738403496615,2.5582717825404044,9.830641563812833,3.576116700447069,46.543363287869994,74.0
74,2.979,3.138,17.546,6.621,19.446,2.346,12.954,1.238,16.754,14.538,2.0,28.0,21.0,2550.6086,0.053402041433117074,9.380309407826806,2.0661231904531743,1.685302880194235,1.8757130353237046,14.914661591628308,5.493871160974051,34.1764333249,75.0
75,17.862,16.754,6.462,2.821,12.321,16.754,6.146,15.646,1.712,2.346,6.0,30.0,32.0,1635.049,0.05048282085663823,2.2859207745344556,1.9729601639600929,0.6942773751127094,1.3336187695364012,11.571661892610763,4.280574679113288,23.6145639424,76.0
76,12.004,19.288,5.196,7.413,14.221,11.371,2.662,7.413,18.812,8.046,9.0,9.0,91.0,652.478,0.023195579923750705,0.9459639435115352,1.5793537651750167,0.48403000506655824,1.0316918851207875,6.515694201350772,1.6379886038681868,7.776651383000001,77.0
77,10.737,8.996,16.912,3.296,15.962,15.804,16.438,14.379,6.304,13.271,23.0,13.0,106.0,1010.7014,0.03968225330947166,1.5718393054000945,1.7853033737364108,0.5805264967535555,1.182914935244983,8.838089257859961,2.7002578136819366,14.870488167,78.0
78,9.154,3.929,18.654,9.471,1.396,6.621,18.654,11.529,2.188,6.621,26.0,17.0,96.0,1698.7542,0.02590152992795314,0.3518324756594068,2.0060488944890342,0.6921494816717852,1.3490991880804097,7.775148925074563,2.6815504300992985,17.322231292,79.0
79,19.921,2.188,18.971,11.688,17.862,3.613,4.562,19.604,9.629,17.704,5.0,5.0,109.0,2743.3975,0.11518153361769082,11.042432889094496,2.130314400592094,1.7430305791636334,1.9366724898778638,15.1772318232534,4.6636822236986255,27.07317313589,80.0
80,8.204,6.462,15.487,5.671,18.496,13.271,9.788,8.837,10.896,17.071,3.0,5.0,92.0,452.7419,0.0243566176067958,1.1559137296914428,1.519518698676623,0.4476439211575887,0.9835813099171058,6.629430847394832,1.5410779044199896,7.625413895000001,81.0
81,9.471,17.862,13.112,15.804,6.462,2.662,3.929,16.912,8.837,9.788,6.0,23.0,10.0,239.8686,0.022208201952250525,0.2777274233761987,1.4976986862791377,0.40493094556033615,0.9513148159197369,6.109343541286307,0.7879283612356818,2.482097624999998,82.0
82,6.304,18.812,10.579,6.462,2.979,8.996,4.404,15.487,14.538,8.204,28.0,17.0,101.0,727.4901,0.015868975223144757,0.9562888991578045,1.72526038217669,0.555305721186942,1.140283051681816,6.171530235648829,1.8030598212735522,10.251947402999999,83.0
83,11.688,9.154,18.179,12.162,12.004,15.646,13.429,15.962,3.454,18.654,2.0,30.0,34.0,411.7043,0.028153731446531105,0.31785135049093904,1.4742956023888543,0.4159819074013933,0.9451387548951238,6.115444310852448,0.7420252359214466,2.0847835540000013,84.0
84,7.888,8.837,3.929,18.496,14.062,4.246,4.246,16.279,18.021,4.562,10.0,9.0,101.0,1123.3318,0.03014858720551923,2.500185645129901,1.760402308359693,0.5716832408494836,1.1660427746045883,8.93863026098465,2.8205348486389243,17.048634529000005,85.0
85,13.904,14.221,10.737,1.238,16.279,7.888,10.737,4.721,2.821,17.546,5.0,13.0,24.0,2729.0654,0.03458277155746732,0.0,2.519827148953939,0.997626415662418,1.7587267823081785,14.415883168099421,4.357274979402107,40.83504083758,86.0
86,7.096,7.096,5.671,19.129,12.479,9.154,8.362,1.396,4.879,18.971,2.0,28.0,30.0,2180.4397,0.028057474333288698,1.2729751267767833,1.5387957718448966,0.4683267694887149,1.0035612706668058,8.706871400890927,2.940431757110797,10.231821060000001,87.0
87,4.879,12.162,7.571,3.929,9.946,15.962,1.871,11.846,7.729,7.571,5.0,26.0,29.0,955.92,0.022473058297704185,3.91793405218342,1.896770664120568,0.707868970529134,1.302319817324851,8.600657261670344,3.3248804593988113,21.745486259800003,88.0
88,19.446,15.329,5.038,13.588,10.737,17.546,7.888,8.996,11.371,3.454,9.0,9.0,90.0,682.9728,0.03355789462012757,0.9676433148110015,1.5923516903322041,0.4972856676073945,1.0448186789697993,7.027484818254063,1.454705577570407,6.766538619999999,89.0
89,11.846,17.546,14.696,5.354,5.987,6.462,14.696,19.288,19.288,5.196,20.0,13.0,90.0,429.664,0.020977531146716723,0.4132009000618854,1.5770683369110619,0.45482548075476825,1.0159469088329152,6.094765932804902,1.1405287280902952,4.939434052000003,90.0
90,17.704,6.938,2.821,14.379,2.662,10.579,6.938,13.746,17.071,14.379,13.0,10.0,108.0,1681.786,0.05821564308144955,9.318071769822692,2.3655050065841174,1.3491666834831113,1.8573358450336144,10.459919438373921,3.2756814534239402,31.48976695572,91.0
91,12.954,6.621,17.862,4.562,13.588,14.538,16.754,1.079,12.954,12.796,5.0,28.0,31.0,3074.6272,0.0397692958568069,0.4482514430866427,1.5153926394044235,0.379694648197949,0.9475436438011863,10.609530103880042,3.3539892403994513,8.516242981000001,92.0
92,9.788,5.354,12.321,10.262,2.504,17.388,17.388,6.304,2.029,18.338,2.0,30.0,30.0,1208.4723,0.022870619714580678,0.7372136232492502,1.656788723376482,0.5648727763284296,1.1108307498524557,6.957244738870053,2.136985421087358,8.97757721,93.0
93,3.138,4.404,9.788,19.288,6.938,14.854,8.837,11.054,11.054,13.746,7.0,3.0,110.0,1161.5699,0.04730497477001476,11.487101139304068,2.386510628130808,1.6125702792444812,1.9995404536876447,10.427686216403766,3.3452000584255996,34.595739647952996,94.0
94,19.604,18.496,1.238,1.554,7.254,1.238,13.904,17.862,13.588,7.254,11.0,9.0,101.0,1822.1174,0.026899769077694858,0.5898536179666924,2.088323267484774,2.9236935388339025,2.5060084031593384,13.601040570573529,3.355166626927411,44.796910501808,95.0
95,5.512,13.904,1.554,15.646,15.804,11.846,17.229,5.196,13.112,2.029,11.0,9.0,101.0,1697.8879,0.032702340347355356,0.046920625331136834,2.665300698496576,2.9578996359840652,2.8116001672403206,11.934238952101714,3.628877516374215,43.05163496704,96.0
96,5.671,18.654,9.629,17.862,8.679,9.312,17.862,4.246,5.829,19.129,4.0,3.0,93.0,603.2094,0.02612482518927542,1.4467456506334162,1.6460496622448437,0.5110341538836892,1.0785419080642664,7.0331171416785345,1.6877455455432004,8.974567413000003,97.0
97,7.571,4.246,14.854,5.829,12.638,18.812,8.679,10.896,8.679,12.954,5.0,5.0,98.0,1045.0015,0.02485723358255992,3.2454736175087255,1.6076474301264427,0.6130706244895078,1.1103590273079753,7.516766062531003,2.282999029410828,13.156729698000001,98.0
98,18.654,8.204,8.046,9.788,3.929,13.588,17.546,9.629,4.246,18.496,27.0,17.0,89.0,422.4043,0.023461328289208643,0.5017679464993027,1.5672103184037909,0.5051624733690213,1.0361863958864062,5.897939917061913,1.0383067790299272,4.285602569999998,99.0
99,4.087,14.696,2.188,2.979,2.821,1.396,2.504,13.588,15.171,17.229,9.0,9.0,101.0,1288.6815,0.018489417312378135,4.351529806135916,2.412737956998883,2.5480335153457987,2.480385736172341,9.805851313930875,3.837658183930764,44.10452055965,100.0
100,13.112,4.562,17.071,9.312,4.879,10.104,2.979,8.046,11.212,5.038,2.0,5.0,91.0,882.7972,0.02008920466905642,1.55924378160346,1.4839669440535666,0.5257535904699917,1.0048602672617792,6.262243882038212,1.6366732706076217,7.612730026999998,101.0
101,18.179,11.688,6.621,16.912,18.812,18.338,5.196,6.462,18.179,1.238,6.0,31.0,29.0,3334.3765,0.051545862815082055,0.35820513193345965,1.4101396806130315,0.3172810104962687,0.8637103455546501,10.976402519075709,2.888910215079203,3.378295899000001,102.0
102,3.929,12.004,9.946,18.812,4.246,19.129,4.879,17.229,7.571,19.762,4.0,3.0,101.0,1116.8802,0.03672815457670855,5.707091133403203,2.070191410990981,0.9138888346077721,1.4920401227993767,9.235602707437147,2.8995142238300278,23.684624194899996,103.0
103,4.721,12.796,5.354,2.188,5.038,8.046,18.021,3.454,16.438,3.771,20.0,13.0,110.0,1441.2521,0.02530915255240458,8.268407648702151,2.372825709922612,2.0118105771464623,2.1923181435345374,9.493266379302717,3.7439923562044055,36.41704003503,104.0
104,2.029,15.487,13.904,6.938,4.562,16.121,7.413,14.221,13.746,15.646,2.0,3.0,100.0,1484.408,0.02096990530260845,2.9389501735898502,2.7395290285922553,2.864054345351401,2.8017916869718285,10.458325820423916,3.7076265325222466,46.52321279001001,105.0
105,5.987,19.604,1.712,14.538,6.304,18.654,1.712,12.479,3.929,9.629,8.0,9.0,105.0,1579.8463,0.02760988929305851,2.3465546868120173,2.787100901395802,2.877901881475768,2.832501391435785,10.437084205270054,3.5118851027116906,45.70595932,106.0
106,10.579,8.046,15.646,13.112,18.338,13.429,3.138,2.979,5.038,1.396,6.0,31.0,30.0,2826.0542,0.03425672095301431,0.36002454756646934,1.3498136705264572,0.3149386912547514,0.8323761808906043,9.127805450791072,2.512332553479209,2.59378624,107.0
107,14.538,8.521,10.104,13.429,5.671,8.521,11.371,17.388,17.704,17.388,3.0,5.0,92.0,258.6148,0.023112218151102294,0.34952310966053346,1.4778976532190526,0.4469659880096987,0.9624318206143757,5.700750899623017,0.7424377915317937,2.6625156399999987,108.0
108,3.613,14.062,9.154,3.454,13.746,19.762,19.288,12.796,5.354,10.896,3.0,3.0,108.0,1044.9502,0.04296512493056476,8.391467800968694,2.2885644838229777,1.221359979816107,1.7549622318195424,10.74756238711851,3.4989012661875454,34.217321678502,109.0
109,19.762,3.454,6.779,11.529,11.688,14.379,18.338,19.129,14.696,4.879,5.0,5.0,100.0,1539.5665,0.04502284568312829,4.610806647827374,1.6656602550588455,0.6557456012066956,1.1607029281327705,9.41369779154196,2.8460849241313473,16.472071647,110.0
110,8.679,16.596,19.129,8.837,18.971,4.087,11.054,13.112,4.721,8.521,4.0,30.0,8.0,246.3553,0.0294479422412744,0.36051493049795214,1.446331562490192,0.35616145428593415,0.9012465083880631,6.669676154210274,0.8859330990970886,3.2048854829999947,111.0
111,17.546,17.388,13.588,13.271,19.604,15.329,3.296,4.404,5.512,5.829,1.0,26.0,34.0,315.6668,0.034318036834896495,0.10459975266222735,1.4560087271007385,0.35989941861886576,0.9079540728598021,6.298064933357933,0.564579652468162,0.9309844969999972,112.0
112,9.946,14.538,9.312,18.179,19.921,5.512,16.912,9.471,7.096,11.846,9.0,9.0,92.0,191.3361,0.032767598304663574,0.3467500932122128,1.4228234577623238,0.3546462525863386,0.8887348551743312,6.726491024074722,0.7783754333860469,2.7555007929999995,113.0
113,15.171,7.254,19.446,7.254,11.371,7.096,8.204,19.921,14.221,10.579,2.0,5.0,93.0,339.0124,0.025344805864369983,0.4278666106182992,1.4350703689653415,0.421695186886753,0.9283827779260472,6.143414123767539,0.8634901115302294,3.164068222000001,114.0
114,17.229,5.196,3.138,3.138,1.554,19.288,15.962,14.696,17.546,11.529,25.0,17.0,109.0,1107.9939,0.04171768636336005,7.010530601368595,2.5715090741878512,1.8382541748999164,2.2048816245438836,9.406422177141042,3.0364962719498325,32.754364014000004,115.0
115,14.221,6.146,11.688,9.946,17.388,6.779,10.262,8.521,13.904,15.171,2.0,5.0,93.0,475.1202,0.027562489003597368,0.5908184128412385,1.3598403973231201,0.389179165225137,0.8745097812741286,6.347935466469288,0.9536522443408759,3.642791748000004,116.0
116,15.487,17.071,4.246,12.004,7.571,3.771,10.579,5.038,1.554,12.004,2.0,30.0,31.0,2070.3774,0.033876342926148856,0.9425187963707752,1.6287588514868414,0.4886066440353429,1.058682747761092,9.279434779264047,3.056156183276509,11.862491608,117.0
117,6.146,10.262,2.662,18.338,5.829,9.788,19.921,3.138,5.671,16.912,13.0,10.0,110.0,1621.9268,0.04896100305165806,10.863640666527559,2.382322819044644,1.5844506220242771,1.9833867205344604,10.226866753406206,3.3630537401051064,33.36357095831,118.0
118,13.271,18.971,16.121,10.421,15.487,12.479,9.946,12.321,1.238,8.679,2.0,30.0,30.0,3401.5325,0.04175081178123193,0.11398617338082583,1.4168847932258182,0.3043943217959978,0.860639557510908,9.621452928735092,2.4013556415372768,1.3502826689999985,119.0
119,16.121,13.271,7.096,4.404,10.421,18.496,14.538,5.671,3.613,3.296,24.0,13.0,95.0,700.0319,0.025878793306302637,1.0451523625612718,1.6779442459775122,0.5391378318778324,1.1085410389276724,7.019803879277176,1.8789106624271008,9.305242538999998,120.0
